"city_id","season","daily_amplitude_c"
"saint_petersburg","winter","1.5"
"novosibirsk","summer","7.98"
"murmansk","summer","8.01"
"sochi","summer","7.1"
"nizhny_novgorod","winter","2.44"
"yekaterinburg","winter","2.94"
"yakutsk","summer","10.26"
"moscow","summer","9.69"
"astana","summer","9.14"
"moscow","winter","1.88"
"minsk","winter","1.94"
"yekaterinburg","summer","7.97"
"murmansk","winter","0.58"
"astana","winter","3.73"
"saint_petersburg","summer","6.89"
"novosibirsk","winter","3.62"
"sochi","winter","4.79"
"minsk","summer","8.49"
"vladivostok","summer","3.55"
"yakutsk","winter","4.12"
"krasnoyarsk","winter","4.24"
"vladivostok","winter","4.43"
"krasnoyarsk","summer","9.39"
"nizhny_novgorod","summer","8.71"
"rostov_on_don","summer","11.02"
"kazan","summer","7.84"
"rostov_on_don","winter","3.62"
"kazan","winter","1.61"
